id,expression,category
1,Nice to meet you,Greetings & Farewells
2,How are you doing?,Greetings & Farewells
3,What's up?,Greetings & Farewells
4,Long time no see,Greetings & Farewells
5,Good to see you,Greetings & Farewells
6,How have you been?,Greetings & Farewells
7,Take care,Greetings & Farewells
8,See you later,Greetings & Farewells
9,Catch you later,Greetings & Farewells
10,Have a good one,Greetings & Farewells
11,Have a great day,Greetings & Farewells
12,See you soon,Greetings & Farewells
13,Until next time,Greetings & Farewells
14,It was nice seeing you,Greetings & Farewells
15,Keep in touch,Greetings & Farewells
16,Stay in touch,Greetings & Farewells
17,Drop me a line,Greetings & Farewells
18,How's it going?,Greetings & Farewells
19,What's new?,Greetings & Farewells
20,What's going on?,Greetings & Farewells
21,How's everything?,Greetings & Farewells
22,How's life treating you?,Greetings & Farewells
23,Good morning,Greetings & Farewells
24,Good afternoon,Greetings & Farewells
25,Good evening,Greetings & Farewells
26,Good night,Greetings & Farewells
27,Sleep tight,Greetings & Farewells
28,Sweet dreams,Greetings & Farewells
29,Rise and shine,Greetings & Farewells
30,Welcome back,Greetings & Farewells
31,Fancy seeing you here,Greetings & Farewells
32,Small world,Greetings & Farewells
33,Speak of the devil,Greetings & Farewells
34,I was just thinking about you,Greetings & Farewells
35,Let's get together soon,Greetings & Farewells
36,We should hang out,Greetings & Farewells
37,See you around,Greetings & Farewells
38,Peace out,Greetings & Farewells
39,Howdy,Greetings & Farewells
40,Hey there,Greetings & Farewells
41,I'm feeling blue,Feelings & Emotions
42,I'm on top of the world,Feelings & Emotions
43,I'm under the weather,Feelings & Emotions
44,I'm over the moon,Feelings & Emotions
45,I'm walking on air,Feelings & Emotions
46,I'm feeling down,Feelings & Emotions
47,I'm feeling off today,Feelings & Emotions
48,I'm not myself today,Feelings & Emotions
49,I'm feeling out of sorts,Feelings & Emotions
50,I'm on cloud nine,Feelings & Emotions
51,I'm in a good mood,Feelings & Emotions
52,I'm in a bad mood,Feelings & Emotions
53,I'm feeling overwhelmed,Feelings & Emotions
54,I'm feeling stressed out,Feelings & Emotions
55,I'm feeling burned out,Feelings & Emotions
56,I'm at my wit's end,Feelings & Emotions
57,I'm beside myself,Feelings & Emotions
58,I'm over it,Feelings & Emotions
59,I'm fed up,Feelings & Emotions
60,I've had it up to here,Feelings & Emotions
61,I'm losing my mind,Feelings & Emotions
62,I'm at peace,Feelings & Emotions
63,I'm thrilled,Feelings & Emotions
64,I'm ecstatic,Feelings & Emotions
65,I'm devastated,Feelings & Emotions
66,I'm heartbroken,Feelings & Emotions
67,I'm green with envy,Feelings & Emotions
68,I'm seeing red,Feelings & Emotions
69,I'm tickled pink,Feelings & Emotions
70,I'm on edge,Feelings & Emotions
71,I'm nervous as a cat,Feelings & Emotions
72,I'm scared stiff,Feelings & Emotions
73,I'm bored to tears,Feelings & Emotions
74,I'm bored out of my mind,Feelings & Emotions
75,I'm pumped up,Feelings & Emotions
76,I'm fired up,Feelings & Emotions
77,I'm feeling nostalgic,Feelings & Emotions
